4.00, 4.00, 180
4.00, 4.03, 181
4.00, 4.07, 182
4.00, 4.10, 183
4.00, 4.14, 184
3.99, 4.17, 185
3.99, 4.21, 186
3.99, 4.24, 187
3.98, 4.28, 188
3.98, 4.31, 189
3.97, 4.35, 190
3.96, 4.38, 191
3.96, 4.42, 192
3.95, 4.45, 193
3.94, 4.48, 194
3.93, 4.52, 195
3.92, 4.55, 196
3.91, 4.58, 197
3.90, 4.62, 198
3.89, 4.65, 199
3.88, 4.68, 200
3.87, 4.72, 201
3.85, 4.75, 202
3.84, 4.78, 203
3.83, 4.81, 204
3.81, 4.85, 205
3.80, 4.88, 206
3.78, 4.91, 207
3.77, 4.94, 208
3.75, 4.97, 209
3.73, 5.00, 210
3.71, 5.03, 211
3.70, 5.06, 212
3.68, 5.09, 213
3.66, 5.12, 214
3.64, 5.15, 215
3.62, 5.18, 216
3.60, 5.20, 217
3.58, 5.23, 218
3.55, 5.26, 219
3.53, 5.29, 220
3.51, 5.31, 221
3.49, 5.34, 222
3.46, 5.36, 223
3.44, 5.39, 224
3.41, 5.41, 225
3.39, 5.44, 226
3.36, 5.46, 227
3.34, 5.49, 228
3.31, 5.51, 229
3.29, 5.53, 230
3.26, 5.55, 231
3.23, 5.58, 232
3.20, 5.60, 233
3.18, 5.62, 234
3.15, 5.64, 235
3.12, 5.66, 236
3.09, 5.68, 237
3.06, 5.70, 238
3.03, 5.71, 239
3.00, 5.73, 240
2.97, 5.75, 241
2.94, 5.77, 242
2.91, 5.78, 243
2.88, 5.80, 244
2.85, 5.81, 245
2.81, 5.83, 246
2.78, 5.84, 247
2.75, 5.85, 248
2.72, 5.87, 249
2.68, 5.88, 250
2.65, 5.89, 251
2.62, 5.90, 252
2.58, 5.91, 253
2.55, 5.92, 254
2.52, 5.93, 255
2.48, 5.94, 256
2.45, 5.95, 257
2.42, 5.96, 258
2.38, 5.96, 259
2.35, 5.97, 260
2.31, 5.98, 261
2.28, 5.98, 262
2.24, 5.99, 263
2.21, 5.99, 264
2.17, 5.99, 265
2.14, 6.00, 266
2.10, 6.00, 267
2.07, 6.00, 268
2.03, 6.00, 269
2.00, 6.00, 270
1.97, 6.00, 271
1.93, 6.00, 272
1.90, 6.00, 273
1.86, 6.00, 274
1.83, 5.99, 275
1.79, 5.99, 276
1.76, 5.99, 277
1.72, 5.98, 278
1.69, 5.98, 279
1.65, 5.97, 280
1.62, 5.96, 281
1.58, 5.96, 282
1.55, 5.95, 283
1.52, 5.94, 284
1.48, 5.93, 285
1.45, 5.92, 286
1.42, 5.91, 287
1.38, 5.90, 288
1.35, 5.89, 289
1.32, 5.88, 290
1.28, 5.87, 291
1.25, 5.85, 292
1.22, 5.84, 293
1.19, 5.83, 294
1.15, 5.81, 295
1.12, 5.80, 296
1.09, 5.78, 297
1.06, 5.77, 298
1.03, 5.75, 299
1.00, 5.73, 300
0.97, 5.71, 301
0.94, 5.70, 302
0.91, 5.68, 303
0.88, 5.66, 304
0.85, 5.64, 305
0.82, 5.62, 306
0.80, 5.60, 307
0.77, 5.58, 308
0.74, 5.55, 309
0.71, 5.53, 310
0.69, 5.51, 311
0.66, 5.49, 312
0.64, 5.46, 313
0.61, 5.44, 314
0.59, 5.41, 315
0.56, 5.39, 316
0.54, 5.36, 317
0.51, 5.34, 318
0.49, 5.31, 319
0.47, 5.29, 320
0.45, 5.26, 321
0.42, 5.23, 322
0.40, 5.20, 323
0.38, 5.18, 324
0.36, 5.15, 325
0.34, 5.12, 326
0.32, 5.09, 327
0.30, 5.06, 328
0.29, 5.03, 329
0.27, 5.00, 330
0.25, 4.97, 331
0.23, 4.94, 332
0.22, 4.91, 333
0.20, 4.88, 334
0.19, 4.85, 335
0.17, 4.81, 336
0.16, 4.78, 337
0.15, 4.75, 338
0.13, 4.72, 339
0.12, 4.68, 340
0.11, 4.65, 341
0.10, 4.62, 342
0.09, 4.58, 343
0.08, 4.55, 344
0.07, 4.52, 345
0.06, 4.48, 346
