4.31,1.02,-0.5
4.45,1.15,0.0
4.36,0.94,-30.0
4.31,0.96,-90.0
4.22,0.84,180
4.22,0.96,150
4.24,0.94,90
4.29,0.94,45
4.29,0.94,45
4.29,0.94,45
4.29,0.94,45
4.29,0.94,0
4.29,0.94,0
4.29,0.94,0
4.29,0.94,0
4.29,0.94,0
4.29,0.94,0
4.29,0.94,0
4.29,0.94,0
4.29,0.94,0
4.29,0.94,180
3.99,   0.94,   180
3.89,   0.94,   180
3.79,   0.94,   180
3.69,   0.94,   180
3.59,   0.94,   180
3.49,   0.94,   180
3.39,   0.94,   180
3.29,   0.94,   180
3.19,   0.94,   180
3.09,   0.94,   180
2.99,   0.94,   180
2.89,   0.94,   180
2.79,   0.94,   180
2.69,   0.94,   180
2.59,   0.94,   180
2.49,   0.94,   180
2.39,   0.94,   180
2.29,   0.94,   180
2.19,   0.94,   180
2.09,   0.94,   180
1.99,   0.94,   180
1.89,   0.94,   180
1.79,   0.94,   180
1.69,   0.94,   180
1.59,   0.94,   180
1.49,   0.94,   180
1.39,   0.94,   180
1.29,   0.94,   180
1.29,   1   ,180
1.29,   1.1,    179
1.29,   1.2,    178
1.29,   1.3,    177
1.29,   1.4,    176
1.29,   1.5,    175
1.29,   1.6,    174
1.29,   1.7,    173
1.29,   1.8,    172
1.29,   1.9,    171
1.29,   2,  170
1.29,   2.1,    169
1.29,   2.2,    168
1.29,   2.3,    167
1.29,   2.4,    166
1.29,   2.5,    165
1.29,   2.6,    164
1.29,   2.7,    163
1.29,   2.8,    162
1.29,   2.9,    161
1.29,   3   ,160
1.29,   3.1,    159
1.29,   3.2,    158
1.29,   3.3,    157
1.29,   3.4,    156
1.29,   3.5,    155
1.29,   3.6,    154
1.29,   3.7,    153
1.29,   3.8,    152
1.29,   3.9,    151
1.29,   4,  150
1.29,   4.1,    149
1.29,   4.2,    148
1.29,   4.3,    147
1.29,   4.4,    146
1.29,   4.5,    145
1.29,   4.6,    144
1.29,   4.7,    143
1.29,   4.8,    142
1.29,   4.9,    141
1.29,   5,  140
1.29,   5.1,    139
1.29,   5.2,    138
1.29,   5.3,    137
1.29,   5.4,    136
1.29,   5.5,    135
1.29,   5.6,    134
1.29,   5.7,    133
1.29,   5.8,    132
1.29,   5.9,    131
1.29,   6,  130
1.29,   6.1,    129
1.29,   6.2,    128
1.29,   6.3,    127
1.29,   6.4,    126
1.29,   6.5,    125
1.29,   6.6,    124
1.29,   6.7,    123
1.29,   6.8,    122
1.29,   6.9,    121
1.29,   7,  120
1.29,   7.1,    119
1.29,   7.2,    118
1.29,   7.3,    117
1.29,   7.4,    116
1.29,   7.5,    115
1.29,   7.6,    114
1.29,   7.7,    113
1.29,   7.8,    112
1.29,   7.9,    111
